[GAME] 642073 [DATE] 2021-03-14 [VENUE] Comerica Park [WEATHER] Sunny 78 7

[TEAM] 116
[PLAY] Strikeout [BATTER] Akil Baddoo [PITCHER] Bruce Zimmermann [MOVEMENTS] Akil Baddoo home -> home [out]
[PLAY] Forceout [BATTER] Greg Garcia [PITCHER] Bruce Zimmermann [FIELDERS] Jahmai Jones [MOVEMENTS] Jake Rogers 1 -> home [out], Greg Garcia home -> 1
[PLAY] Walk [BATTER] Jacob Robson [PITCHER] Bruce Zimmermann [MOVEMENTS] Kody Clemens 1 -> 2, Jacob Robson home -> 1
[PLAY] Groundout [BATTER] Riley Greene [PITCHER] Bruce Zimmermann [FIELDERS] Jahmai Jones [MOVEMENTS] Riley Greene home -> home [out]
[PLAY] Strikeout [BATTER] Nick Ciuffo [PITCHER] Gregory Soto [MOVEMENTS] Nick Ciuffo home -> home [out]
[PLAY] Groundout [BATTER] Jahmai Jones [PITCHER] Gregory Soto [FIELDERS] Harold Castro [MOVEMENTS] Jahmai Jones home -> home [out]
[PLAY] Lineout [BATTER] Tyler Nevin [PITCHER] Gregory Soto [FIELDERS] Riley Greene [MOVEMENTS] Tyler Nevin home -> home [out]
[PLAY] Single [BATTER] Harold Castro [PITCHER] Travis Lakins Sr. [MOVEMENTS] Harold Castro home -> 1
[PLAY] Strikeout [BATTER] Spencer Torkelson [PITCHER] Travis Lakins Sr. [MOVEMENTS] Spencer Torkelson home -> home [out]
[PLAY] Hit By Pitch [BATTER] Dustin Garneau [PITCHER] Travis Lakins Sr. [MOVEMENTS] Harold Castro 1 -> 2, Dustin Garneau home -> 1
[PLAY] Home Run [BATTER] Zack Short [PITCHER] Travis Lakins Sr. [MOVEMENTS] Zack Short home -> 4, Harold Castro 2 -> 4, Dustin Garneau 1 -> 4
[PLAY] Flyout [BATTER] Jake Rogers [PITCHER] Travis Lakins Sr. [FIELDERS] Chris Shaw [MOVEMENTS] Jake Rogers home -> home [out]
[PLAY] Home Run [BATTER] Akil Baddoo [PITCHER] Travis Lakins Sr. [MOVEMENTS] Akil Baddoo home -> 4
[PLAY] Groundout [BATTER] Kody Clemens [PITCHER] Travis Lakins Sr. [FIELDERS] Travis Lakins Sr. [MOVEMENTS] Kody Clemens home -> home [out]
[PLAY] Groundout [BATTER] Chris Shaw [PITCHER] José Cisnero [FIELDERS] Harold Castro [MOVEMENTS] Chris Shaw home -> home [out]
[PLAY] Strikeout [BATTER] Jordan Westburg [PITCHER] José Cisnero [MOVEMENTS] Jordan Westburg home -> home [out]
[PLAY] Strikeout [BATTER] Rylan Bannon [PITCHER] José Cisnero [MOVEMENTS] Rylan Bannon home -> home [out]
[GAME_END]
