[GAME] 605126 [DATE] 2020-03-11 [VENUE] Marlins Park [WEATHER] Sunny 75 9

[TEAM] 146
[PLAY] Strikeout [BATTER] Thairo Estrada [PITCHER] Sandy Alcantara [MOVEMENTS] Chris Iannetta 1 -> 2, Thairo Estrada home -> home [out]
[PLAY] Groundout [BATTER] Mike Tauchman [PITCHER] Sandy Alcantara [FIELDERS] Isan Díaz [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Walk [BATTER] Lewis Brinson [PITCHER] Deivi García [MOVEMENTS] Lewis Brinson home -> 1
[PLAY] Flyout [BATTER] Francisco Cervelli [PITCHER] Deivi García [FIELDERS] Clint Frazier [MOVEMENTS] Francisco Cervelli home -> home [out]
[PLAY] Double Play [BATTER] Isan Díaz [PITCHER] Deivi García [FIELDERS] Mike Ford, Mike Ford [MOVEMENTS] Isan Díaz home -> home [out], Lewis Brinson 1 -> home [out]
[PLAY] Single [BATTER] Gio Urshela [PITCHER] Sandy Alcantara [MOVEMENTS] Gio Urshela home -> 1
[PLAY] Groundout [BATTER] Mike Ford [PITCHER] Sandy Alcantara [FIELDERS] Sandy Alcantara [MOVEMENTS] Mike Ford home -> home [out], Gio Urshela 1 -> 2
[PLAY] Double [BATTER] Miguel Andujar [PITCHER] Sandy Alcantara [MOVEMENTS] Miguel Andujar home -> 2, Gio Urshela 2 -> 3, Gio Urshela 3 -> 4
[PLAY] Flyout [BATTER] Clint Frazier [PITCHER] Sandy Alcantara [FIELDERS] Harold Ramírez [MOVEMENTS] Clint Frazier home -> home [out]
[PLAY] Single [BATTER] Kyle Higashioka [PITCHER] Sandy Alcantara [MOVEMENTS] Kyle Higashioka home -> 1, Miguel Andujar 2 -> 3
[PLAY] Walk [BATTER] Chris Iannetta [PITCHER] Sandy Alcantara [MOVEMENTS] Kyle Higashioka 1 -> 2, Chris Iannetta home -> 1
[PLAY] Flyout [BATTER] Tyler Wade [PITCHER] Sandy Alcantara [FIELDERS] Harold Ramírez [MOVEMENTS] Tyler Wade home -> home [out]
[PLAY] Single [BATTER] Garrett Cooper [PITCHER] Deivi García [MOVEMENTS] Garrett Cooper home -> 1
[PLAY] Strikeout [BATTER] Matt Kemp [PITCHER] Deivi García [MOVEMENTS] Matt Kemp home -> home [out], Garrett Cooper 1 -> 2
[PLAY] Double [BATTER] Eddy Alvarez [PITCHER] Luis Cessa [MOVEMENTS] Eddy Alvarez home -> 2, Garrett Cooper 2 -> 3, Garrett Cooper 3 -> 4
[PLAY] Groundout [BATTER] Harold Ramírez [PITCHER] Luis Cessa [FIELDERS] Tyler Wade [MOVEMENTS] Harold Ramírez home -> home [out]
[PLAY] Strikeout [BATTER] Sean Rodríguez [PITCHER] Luis Cessa [MOVEMENTS] Eddy Alvarez 2 -> 3, Sean Rodríguez home -> home [out]
[PLAY] Groundout [BATTER] Thairo Estrada [PITCHER] Sandy Alcantara [FIELDERS] Isan Díaz [MOVEMENTS] Thairo Estrada home -> home [out]
[PLAY] Strikeout [BATTER] Mike Tauchman [PITCHER] Sandy Alcantara [MOVEMENTS] Mike Tauchman home -> home [out]
[PLAY] Flyout [BATTER] Gio Urshela [PITCHER] Sandy Alcantara [FIELDERS] Matt Kemp [MOVEMENTS] Gio Urshela home -> home [out]
[PLAY] Strikeout [BATTER] Riley Mahan [PITCHER] Luis Cessa [MOVEMENTS] Riley Mahan home -> home [out]
[PLAY] Flyout [BATTER] Lewis Brinson [PITCHER] Luis Cessa [FIELDERS] Mike Tauchman [MOVEMENTS] Lewis Brinson home -> home [out]
[PLAY] Groundout [BATTER] Francisco Cervelli [PITCHER] Luis Cessa [FIELDERS] Thairo Estrada [MOVEMENTS] Francisco Cervelli home -> home [out]
[PLAY] Groundout [BATTER] Mike Ford [PITCHER] Brandon Kintzler [FIELDERS] Isan Díaz [MOVEMENTS] Mike Ford home -> home [out]
[PLAY] Groundout [BATTER] Miguel Andujar [PITCHER] Brandon Kintzler [FIELDERS] Eddy Alvarez [MOVEMENTS] Miguel Andujar home -> home [out]
