[GAME] 719064 [DATE] 2023-03-18 [VENUE] PNC Park [WEATHER] Overcast 79 13

[TEAM] 134
[PLAY] Hit By Pitch [BATTER] Matt Wallner [PITCHER] Mitch Keller [MOVEMENTS] Matt Wallner home -> 1
[PLAY] Flyout [BATTER] Tony Wolters [PITCHER] Mitch Keller [FIELDERS] Austin Hedges, Chavez Young [MOVEMENTS] Matt Wallner 1 -> home [out], Tony Wolters home -> home [out]
[PLAY] Double [BATTER] Bryan Reynolds [PITCHER] Aaron Sanchez [MOVEMENTS] Bryan Reynolds home -> 2
[PLAY] Home Run [BATTER] Ke'Bryan Hayes [PITCHER] Aaron Sanchez [MOVEMENTS] Ke'Bryan Hayes home -> 4, Bryan Reynolds 2 -> 4
[PLAY] Lineout [BATTER] Canaan Smith-Njigba [PITCHER] Aaron Sanchez [FIELDERS] Mark Contreras [MOVEMENTS] Canaan Smith-Njigba home -> home [out]
[PLAY] Walk [BATTER] Miguel Andujar [PITCHER] Aaron Sanchez [MOVEMENTS] Miguel Andujar home -> 1
[PLAY] Strikeout [BATTER] Rodolfo Castro [PITCHER] Aaron Sanchez [MOVEMENTS] Rodolfo Castro home -> home [out], Miguel Andujar 1 -> 2
[PLAY] Double [BATTER] Mark Mathias [PITCHER] Jordan Brink [MOVEMENTS] Mark Mathias home -> 2, Miguel Andujar 2 -> 3, Miguel Andujar 3 -> 4
[PLAY] Strikeout [BATTER] Austin Hedges [PITCHER] Jordan Brink [MOVEMENTS] Austin Hedges home -> home [out]
[PLAY] Groundout [BATTER] Mark Contreras [PITCHER] Mitch Keller [FIELDERS] Mitch Keller [MOVEMENTS] Mark Contreras home -> home [out]
[PLAY] Hit By Pitch [BATTER] Tyler White [PITCHER] Mitch Keller [MOVEMENTS] Tyler White home -> 1
[PLAY] Strikeout [BATTER] Elliot Soto [PITCHER] Mitch Keller [MOVEMENTS] Elliot Soto home -> home [out]
[PLAY] Strikeout [BATTER] Brooks Lee [PITCHER] Yohan Ramírez [MOVEMENTS] Brooks Lee home -> home [out]
[PLAY] Groundout [BATTER] Chavez Young [PITCHER] Brock Stewart [FIELDERS] Brooks Lee [MOVEMENTS] Chavez Young home -> home [out]
[PLAY] Strikeout [BATTER] Oneil Cruz [PITCHER] Brock Stewart [MOVEMENTS] Oneil Cruz home -> home [out]
[PLAY] Strikeout [BATTER] Bryan Reynolds [PITCHER] Brock Stewart [MOVEMENTS] Bryan Reynolds home -> home [out]
[PLAY] Groundout [BATTER] Jose Miranda [PITCHER] Jose E. Hernandez [FIELDERS] Ke'Bryan Hayes [MOVEMENTS] Jose Miranda home -> home [out]
[PLAY] Groundout [BATTER] Trevor Larnach [PITCHER] Jose E. Hernandez [FIELDERS] Miguel Andujar [MOVEMENTS] Trevor Larnach home -> home [out]
[PLAY] Walk [BATTER] Willi Castro [PITCHER] Jose E. Hernandez [MOVEMENTS] Willi Castro home -> 1
[PLAY] Single [BATTER] Matt Wallner [PITCHER] Jose E. Hernandez [MOVEMENTS] Willi Castro 1 -> 2, Matt Wallner home -> 1, Willi Castro 2 -> 4
[PLAY] Single [BATTER] Tony Wolters [PITCHER] Jose E. Hernandez [MOVEMENTS] Tony Wolters home -> 1, Matt Wallner 1 -> 2
[PLAY] Groundout [BATTER] Mark Contreras [PITCHER] Jose E. Hernandez [FIELDERS] Oneil Cruz [MOVEMENTS] Mark Contreras home -> home [out]
[PLAY] Walk [BATTER] Ke'Bryan Hayes [PITCHER] Brock Stewart [MOVEMENTS] Ke'Bryan Hayes home -> 1
[PLAY] Double [BATTER] Canaan Smith-Njigba [PITCHER] Brock Stewart [MOVEMENTS] Canaan Smith-Njigba home -> 2, Ke'Bryan Hayes 1 -> 3
[PLAY] Sac Fly [BATTER] Miguel Andujar [PITCHER] Brock Stewart [FIELDERS] Mark Contreras [SCORING_RUNNER] Canaan Smith-Njigba [MOVEMENTS] Miguel Andujar home -> home [out], Canaan Smith-Njigba 2 -> 3, Ke'Bryan Hayes 3 -> 4
[PLAY] Single [BATTER] Rodolfo Castro [PITCHER] Brock Stewart [MOVEMENTS] Rodolfo Castro home -> 1, Canaan Smith-Njigba 3 -> 4
[PLAY] Forceout [BATTER] Mark Mathias [PITCHER] Brock Stewart [FIELDERS] Brooks Lee [MOVEMENTS] Rodolfo Castro 1 -> home [out], Mark Mathias home -> 1
[PLAY] Strikeout [BATTER] Austin Hedges [PITCHER] Trevor Megill [MOVEMENTS] Austin Hedges home -> home [out]
[PLAY] Single [BATTER] Tyler White [PITCHER] Carmen Mlodzinski [MOVEMENTS] Tyler White home -> 1
[PLAY] Walk [BATTER] Elliot Soto [PITCHER] Carmen Mlodzinski [MOVEMENTS] Dalton Kelly 1 -> 2, Elliot Soto home -> 1
[PLAY] Single [BATTER] Brooks Lee [PITCHER] Carmen Mlodzinski [MOVEMENTS] Brooks Lee home -> 1, Dalton Kelly 2 -> 3, Dalton Kelly 3 -> 4, Anthony Prato 1 -> 2
[PLAY] Single [BATTER] Jose Miranda [PITCHER] Carmen Mlodzinski [MOVEMENTS] Jose Miranda home -> 1, Anthony Prato 2 -> 3, Anthony Prato 3 -> 4, Ernie Yake 1 -> 2, Ernie Yake 2 -> 3
[PLAY] Walk [BATTER] Trevor Larnach [PITCHER] Carmen Mlodzinski [MOVEMENTS] Alex Isola 1 -> 2, Trevor Larnach home -> 1
[PLAY] Strikeout [BATTER] Andrew Bechtold [PITCHER] Carmen Mlodzinski [MOVEMENTS] Andrew Bechtold home -> home [out]
[PLAY] Strikeout [BATTER] Matt Wallner [PITCHER] Cam Alldred [MOVEMENTS] Matt Wallner home -> home [out]
[PLAY] Strikeout [BATTER] David Bañuelos [PITCHER] Cam Alldred [MOVEMENTS] David Bañuelos home -> home [out]
[PLAY] Home Run [BATTER] Travis Swaggerty [PITCHER] Trevor Megill [MOVEMENTS] Travis Swaggerty home -> 4
[PLAY] Walk [BATTER] Tucupita Marcano [PITCHER] Trevor Megill [MOVEMENTS] Tucupita Marcano home -> 1
[PLAY] Strikeout Double Play [BATTER] Carter Bins [PITCHER] Trevor Megill [FIELDERS] David Bañuelos, David Bañuelos [MOVEMENTS] Carter Bins home -> home [out], Tucupita Marcano 1 -> home [out]
[PLAY] Groundout [BATTER] Cal Mitchell [PITCHER] Trevor Megill [FIELDERS] Dalton Kelly [MOVEMENTS] Cal Mitchell home -> home [out]
[PLAY] Groundout [BATTER] Mark Contreras [PITCHER] Wil Crowe [FIELDERS] Tucupita Marcano [MOVEMENTS] Mark Contreras home -> home [out]
[PLAY] Single [BATTER] Dalton Kelly [PITCHER] Wil Crowe [MOVEMENTS] Dalton Kelly home -> 1
[PLAY] Strikeout [BATTER] Anthony Prato [PITCHER] Wil Crowe [MOVEMENTS] Anthony Prato home -> home [out]
[PLAY] Single [BATTER] Ernie Yake [PITCHER] Wil Crowe [MOVEMENTS] Ernie Yake home -> 1, Dalton Kelly 1 -> 2
[PLAY] Walk [BATTER] Alex Isola [PITCHER] Wil Crowe [MOVEMENTS] Dalton Kelly 2 -> 3, Ernie Yake 1 -> 2, Alex Isola home -> 1
[PLAY] Flyout [BATTER] Willie Joe Garry Jr. [PITCHER] Wil Crowe [FIELDERS] Lolo Sanchez [MOVEMENTS] Willie Joe Garry Jr. home -> home [out]
[PLAY] Single [BATTER] Chris Owings [PITCHER] Cole Sands [MOVEMENTS] Chris Owings home -> 1
[PLAY] Hit By Pitch [BATTER] Jason Delay [PITCHER] Cole Sands [MOVEMENTS] Chris Owings 1 -> 2, Jason Delay home -> 1
[PLAY] Strikeout [BATTER] Drew Maggi [PITCHER] Cole Sands [MOVEMENTS] Drew Maggi home -> home [out]
[PLAY] Double [BATTER] Andrés Alvarez [PITCHER] Cole Sands [MOVEMENTS] Andrés Alvarez home -> 2, Chris Owings 2 -> 4, Jason Delay 1 -> 3
[PLAY] Strikeout [BATTER] Lolo Sanchez [PITCHER] Cole Sands [MOVEMENTS] Lolo Sanchez home -> home [out]
[PLAY] Strikeout [BATTER] Travis Swaggerty [PITCHER] Cole Sands [MOVEMENTS] Travis Swaggerty home -> home [out]
[PLAY] Groundout [BATTER] Andrew Bechtold [PITCHER] Colin Holderman [FIELDERS] Chris Owings [MOVEMENTS] Andrew Bechtold home -> home [out]
[PLAY] Pop Out [BATTER] Will Holland [PITCHER] Colin Holderman [FIELDERS] Andrés Alvarez [MOVEMENTS] Will Holland home -> home [out]
[PLAY] Strikeout [BATTER] David Bañuelos [PITCHER] Colin Holderman [MOVEMENTS] David Bañuelos home -> home [out]
[GAME_END]
