[GAME] 719262 [DATE] 2023-03-05 [VENUE] PNC Park [WEATHER] Cloudy 82 7

[TEAM] 134
[PLAY] Groundout [BATTER] Cal Mitchell [PITCHER] José De León [FIELDERS] Aaron Sabato [MOVEMENTS] Cal Mitchell home -> home [out], Carlos Santana 1 -> 2
[PLAY] Single [BATTER] Rodolfo Castro [PITCHER] José De León [MOVEMENTS] Rodolfo Castro home -> 1, Rodolfo Castro 1 -> 2, Carlos Santana 2 -> 4
[PLAY] Strikeout [BATTER] Austin Hedges [PITCHER] José De León [MOVEMENTS] Austin Hedges home -> home [out]
[PLAY] Strikeout [BATTER] Aaron Sabato [PITCHER] JT Brubaker [MOVEMENTS] Aaron Sabato home -> home [out]
[PLAY] Strikeout [BATTER] Andrew Bechtold [PITCHER] JT Brubaker [MOVEMENTS] Andrew Bechtold home -> home [out]
[PLAY] Groundout [BATTER] Edouard Julien [PITCHER] JT Brubaker [FIELDERS] Carlos Santana [MOVEMENTS] Edouard Julien home -> home [out]
[PLAY] Strikeout [BATTER] Chris Owings [PITCHER] José De León [MOVEMENTS] Chris Owings home -> home [out]
[PLAY] Strikeout [BATTER] Ji Hwan Bae [PITCHER] José De León [MOVEMENTS] Ji Hwan Bae home -> home [out]
[PLAY] Single [BATTER] Bryan Reynolds [PITCHER] José De León [MOVEMENTS] Bryan Reynolds home -> 1
[PLAY] Strikeout [BATTER] Andrew McCutchen [PITCHER] José De León [MOVEMENTS] Andrew McCutchen home -> home [out]
[PLAY] Home Run [BATTER] Jose Miranda [PITCHER] Angel Perdomo [MOVEMENTS] Jose Miranda home -> 4
[PLAY] Strikeout [BATTER] Matt Wallner [PITCHER] Angel Perdomo [MOVEMENTS] Matt Wallner home -> home [out]
[PLAY] Single [BATTER] Willi Castro [PITCHER] Angel Perdomo [MOVEMENTS] Willi Castro home -> 1
[PLAY] Walk [BATTER] Tony Wolters [PITCHER] Angel Perdomo [MOVEMENTS] Willi Castro 1 -> 2, Tony Wolters home -> 1
[PLAY] Lineout [BATTER] Brooks Lee [PITCHER] Angel Perdomo [FIELDERS] Bryan Reynolds [MOVEMENTS] Brooks Lee home -> home [out]
[PLAY] Flyout [BATTER] Ryan LaMarre [PITCHER] Angel Perdomo [FIELDERS] Jack Suwinski [MOVEMENTS] Ryan LaMarre home -> home [out]
[PLAY] Flyout [BATTER] Carlos Santana [PITCHER] Aaron Sanchez [FIELDERS] Ryan LaMarre [MOVEMENTS] Carlos Santana home -> home [out]
[PLAY] Strikeout [BATTER] Jack Suwinski [PITCHER] Aaron Sanchez [MOVEMENTS] Jack Suwinski home -> home [out]
[PLAY] Groundout [BATTER] Cal Mitchell [PITCHER] Aaron Sanchez [FIELDERS] Edouard Julien [MOVEMENTS] Cal Mitchell home -> home [out]
[PLAY] Groundout [BATTER] Aaron Sabato [PITCHER] Colin Holderman [FIELDERS] Chris Owings [MOVEMENTS] Aaron Sabato home -> home [out]
[PLAY] Groundout [BATTER] Andrew Bechtold [PITCHER] Colin Holderman [FIELDERS] Chris Owings [MOVEMENTS] Andrew Bechtold home -> home [out]
